*** discogem_multi_leaves_0.3 ***

 Positive Association 
______________________________


*** discogem_multi_leaves_0.3 ***

 Negative Association 
synchronous          | precedence           | 0.02    | 
arg1-as-goal         | conjunction          | 0.0     | 
arg1-as-goal         | disjunction          | 0.0     | 
arg1-as-goal         | arg1-as-instance     | 0.0     | 
arg1-as-goal         | arg2-as-instance     | 0.0     | 
arg1-as-goal         | arg1-as-detail       | 0.0     | 
arg1-as-goal         | arg2-as-detail       | 0.0     | 
arg1-as-goal         | arg2-as-manner       | 0.0     | 
arg2-as-goal         | arg1-as-denier       | 0.0     | 
arg2-as-goal         | arg2-as-denier       | 0.0     | 
arg2-as-goal         | contrast             | 0.0     | 
arg2-as-goal         | similarity           | 0.0     | 
arg2-as-goal         | conjunction          | 0.0     | 
arg2-as-goal         | disjunction          | 0.0     | 
arg2-as-goal         | arg1-as-instance     | 0.0     | 
arg2-as-goal         | arg2-as-instance     | 0.0     | 
arg2-as-goal         | arg1-as-detail       | 0.0     | 
arg2-as-goal         | arg2-as-detail       | 0.004   | 
arg2-as-goal         | arg2-as-manner       | 0.0     | 
arg1-as-denier       | arg2-as-denier       | 0.0714  | 
arg1-as-denier       | contrast             | 0.0612  | 
arg1-as-denier       | similarity           | 0.0     | 
arg1-as-denier       | conjunction          | 0.0025  | 
arg1-as-denier       | disjunction          | 0.0     | 
arg1-as-denier       | arg1-as-instance     | 0.0     | 
arg1-as-denier       | arg2-as-instance     | 0.0     | 
arg1-as-denier       | arg1-as-detail       | 0.0     | 
arg1-as-denier       | arg2-as-detail       | 0.0     | 
arg1-as-denier       | arg2-as-manner       | 0.0     | 
arg2-as-denier       | contrast             | 0.0     | 
arg2-as-denier       | similarity           | 0.0     | 
arg2-as-denier       | conjunction          | 0.0     | 
arg2-as-denier       | disjunction          | 0.0     | 
arg2-as-denier       | arg1-as-instance     | 0.0     | 
arg2-as-denier       | arg2-as-instance     | 0.0     | 
arg2-as-denier       | arg1-as-detail       | 0.0     | 
arg2-as-denier       | arg2-as-detail       | 0.0039  | 
arg2-as-denier       | arg2-as-manner       | 0.0     | 
contrast             | similarity           | 0.0213  | 
contrast             | conjunction          | 0.0259  | 
contrast             | disjunction          | 0.0217  | 
contrast             | arg1-as-instance     | 0.0     | 
contrast             | arg2-as-instance     | 0.0     | 
contrast             | arg1-as-detail       | 0.0     | 
contrast             | arg2-as-detail       | 0.0034  | 
contrast             | arg2-as-manner       | 0.0     | 
similarity           | conjunction          | 0.0076  | 
similarity           | disjunction          | 0.0     | 
similarity           | arg1-as-instance     | 0.0     | 
similarity           | arg2-as-instance     | 0.0     | 
similarity           | arg1-as-detail       | 0.0     | 
similarity           | arg2-as-detail       | 0.0039  | 
similarity           | arg2-as-manner       | 0.0     | 
conjunction          | disjunction          | 0.0051  | 
conjunction          | arg1-as-instance     | 0.0025  | 
